12959;Cadastro Reserva ;10370;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Concurso Público / Edital (10370) | Cadastro Reserva  (12959)
12770;Obras Públicas;10421;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Contratos Administrativos (10421) | Obras Públicas (12770)
14913;Cadastro de Indadimplentes - CADIN;10394;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Dívida Ativa não-tributária (10394) | Cadastro de Indadimplentes - CADIN (14913)
14127;Crédito Rural;10402;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Dívida Ativa não-tributária (10394) | Cessão de créditos não-tributários (10402) | Crédito Rural (14127)
14128;FGTS;10394;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Dívida Ativa não-tributária (10394) | FGTS (14128)
14914;Contrato Administrativo;10395;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Dívida Ativa não-tributária (10394) | Multas e demais Sanções (10395) | Contrato Administrativo (14914)
14129;Compensação Financeira pela Exploração de Recursos Minerais (CFEM);10106;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Domínio Público (10088) | Recursos Minerais (10106) | Compensação Financeira pela Exploração de Recursos Minerais (CFEM) (14129)
14130;Sistema Prisional;9986;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Garantias Constitucionais (9986) | Sistema Prisional (14130)
14202;Lei Geral de Proteção de Dados (LGPD);9985;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Lei Geral de Proteção de Dados (LGPD) (14202)
14204;Privacidade;14202;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Lei Geral de Proteção de Dados (LGPD) (14202) | Privacidade (14204)
14203;Proteção de Dados Pessoais;14202;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Lei Geral de Proteção de Dados (LGPD) (14202) | Proteção de Dados Pessoais (14203)
14131;Dispensa;10385;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Dispensa (14131)
14132;Inexigibilidade;10385;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Inexigibilidade (14132)
14133;Concorrência;10386;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Concorrência (14133)
14136;Concurso;10386;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Concurso (14136)
14135;Convite;10386;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Convite (14135)
14137;Leilão;10386;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Leilão (14137)
14138;Pregão;10386;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Pregão (14138)
14140;Eletrônico;14138;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Pregão (14138) | Eletrônico (14140)
14139;Presencial;14138;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Pregão (14138) | Presencial (14139)
14134;Tomada de Preço;10386;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Licitações  (10385) | Modalidade / Limite (10386) | Tomada de Preço (14134)
14141;Descontos Indevidos;10337;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Militar (10324) | Sistema Remuneratório e Benefícios (10337) | Descontos Indevidos (14141)
14142;Adicional de Inatividade;10338;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Militar (10324) | Sistema Remuneratório e Benefícios (10337) | Gratificações e Adicionais (10338) | Adicional de Inatividade (14142)
14143;Gratificação de Compensação Orgânica;10338;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Militar (10324) | Sistema Remuneratório e Benefícios (10337) | Gratificações e Adicionais (10338) | Gratificação de Compensação Orgânica (14143)
14239;Gratificação de Condição Especial de Trabalho;10338;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Militar (10324) | Sistema Remuneratório e Benefícios (10337) | Gratificações e Adicionais (10338) | Gratificação de Condição Especial de Trabalho (14239)
14144;Ajuda de Custo;10340;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Militar (10324) | Sistema Remuneratório e Benefícios (10337) | Indenizações Regulares (10340) | Ajuda de Custo (14144)
14145;Soldo Legal e Ajustado;10341;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Militar (10324) | Sistema Remuneratório e Benefícios (10337) | Isonomia (10341) | Soldo Legal e Ajustado (14145)
14146;Restituição ao Erário;10337;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Militar (10324) | Sistema Remuneratório e Benefícios (10337) | Restituição ao Erário (14146)
